"from","to"
27,68
27,69
27,70
27,71
27,72
27,73
27,74
27,77
27,78
27,80
27,82
27,83
27,84
27,86
27,87
27,88
27,90
27,91
27,94
27,95
27,96
27,97
27,98
27,100
27,102
27,105
27,108
27,109
27,112
27,113
27,116
27,119
27,120
27,121
27,125
27,127
27,128
27,130
27,133
27,134
27,136
27,146
27,148
27,150
27,155
27,156
27,158
27,170
27,173
27,178
27,180
27,182
27,187
27,193
27,212
28,1
28,2
28,4
28,6
28,11
28,15
28,21
28,33
28,34
28,36
28,39
28,44
28,45
28,68
28,92
28,105
28,109
28,125
28,134
28,150
28,158
29,2
29,4
29,6
29,7
29,8
29,9
29,10
29,13
29,14
29,15
29,21
29,22
29,23
29,25
29,26
29,27
29,30
29,31
29,32
29,34
29,35
29,36
29,37
29,39
29,44
29,45
29,52
29,62
29,67
29,68
29,70
29,80
29,99
29,105
29,110
29,116
29,127
29,130
29,134
29,139
29,146
29,158
29,165
29,166
29,182
30,1
30,2
30,3
30,4
30,5
30,6
30,7
30,9
30,10
30,11
30,13
30,14
30,15
30,17
30,21
30,22
30,25
30,27
30,28
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,40
30,42
30,44
30,45
30,48
30,51
30,52
30,60
30,62
30,63
30,68
30,69
30,70
30,71
30,72
30,73
30,77
30,78
30,80
30,82
30,83
30,84
30,87
30,88
30,90
30,92
30,96
30,98
30,100
30,102
30,104
30,105
30,109
30,112
30,116
30,117
30,119
30,121
30,130
30,133
30,146
30,148
30,150
30,180
30,212
31,1
31,2
31,3
31,4
31,5
31,6
31,7
31,8
31,9
31,10
31,14
31,15
31,16
31,17
31,18
31,19
31,21
31,22
31,23
31,25
31,26
31,27
31,29
31,30
31,32
31,34
31,35
31,36
31,37
31,39
31,40
31,42
31,44
31,45
31,48
31,49
31,51
31,52
31,54
31,55
31,58
31,59
31,62
31,63
31,69
31,70
31,71
31,72
31,73
31,76
31,79
31,80
31,82
31,84
31,86
31,87
31,88
31,90
31,94
31,95
31,96
31,97
31,98
31,99
31,100
31,103
31,104
31,105
31,108
31,109
31,110
31,112
31,116
31,117
31,119
31,121
31,127
31,128
31,134
31,139
31,146
31,155
31,158
31,166
31,168
31,170
31,173
31,182
31,187
31,212
32,2
32,3
32,4
32,6
32,7
32,9
32,14
32,15
32,21
32,22
32,27
32,35
32,40
32,42
32,44
32,45
32,52
32,62
32,63
32,68
32,70
32,72
32,73
32,76
32,78
32,80
32,82
32,83
32,98
32,100
32,105
32,113
32,116
32,117
32,121
32,133
33,1
33,2
33,6
33,7
33,9
33,14
33,15
33,19
33,21
33,22
33,25
33,26
33,27
33,28
33,34
33,36
33,40
33,44
33,45
33,54
33,59
33,62
33,67
33,71
33,78
33,87
33,89
33,91
33,92
33,105
33,109
33,113
33,116
33,119
33,125
33,134
33,146
33,150
33,158
33,170
33,180
33,187
33,193
33,212
34,2
34,6
34,7
34,8
34,9
34,10
34,13
34,14
34,15
34,17
34,18
34,21
34,22
34,23
34,25
34,26
34,27
34,28
34,29
34,30
34,31
34,32
34,36
34,37
34,39
34,40
34,42
34,44
34,45
34,48
34,52
34,55
34,62
34,69
34,70
34,75
34,76
34,80
34,90
34,92
34,100
34,104
34,105
34,109
34,110
34,119
34,120
34,134
34,139
34,146
34,150
34,155
34,156
34,165
34,166
34,170
34,182
34,212
35,2
35,3
35,4
35,6
35,7
35,8
35,9
35,10
35,11
35,13
35,14
35,15
35,16
35,17
35,21
35,22
35,23
35,25
35,26
35,27
35,29
35,30
35,31
35,32
35,34
35,36
35,37
35,39
35,40
35,42
35,44
35,45
35,48
35,51
35,53
35,54
35,55
35,57
35,58
35,59
35,60
35,62
35,63
35,67
35,68
35,69
35,70
35,73
35,74
35,76
35,78
35,80
35,82
35,83
35,84
35,87
35,88
35,94
35,96
35,97
35,98
35,100
35,102
35,103
35,105
35,108
35,109
35,112
35,113
35,116
35,119
35,121
35,125
35,127
35,128
35,130
35,146
35,148
35,150
35,156
35,157
35,158
35,170
35,173
35,180
35,182
35,187
35,193
35,213
36,2
36,4
36,6
36,7
36,8
36,9
36,10
36,11
36,13
36,14
36,15
36,22
36,27
36,30
36,31
36,32
36,34
36,35
36,37
36,40
36,44
36,45
36,51
36,52
36,60
36,62
36,63
36,69
36,73
36,74
36,80
36,82
36,84
36,87
36,98
36,102
36,105
36,117
36,119
36,121
36,178
37,2
37,3
37,4
37,5
37,6
37,7
37,8
37,9
37,10
37,11
37,13
37,14
37,15
37,17
37,22
37,23
37,25
37,27
37,31
37,32
37,33
37,34
37,35
37,36
37,40
37,42
37,44
37,45
37,49
37,51
37,52
37,54
37,55
37,60
37,62
37,63
37,68
37,69
37,70
37,74
37,76
37,77
37,80
37,82
37,83
37,84
37,86
37,87
37,88
37,102
37,103
37,105
37,109
37,121
37,125
37,130
37,133
37,134
37,136
37,146
37,156
37,158
37,165
37,182
38,32
39,1
39,2
39,3
39,4
39,5
39,6
39,7
39,8
39,9
39,10
39,11
39,13
39,14
39,15
39,17
39,18
39,21
39,22
39,23
39,26
39,27
39,28
39,29
39,30
39,31
39,32
39,33
39,34
39,35
39,36
39,37
39,39
39,40
39,44
39,45
39,48
39,49
39,51
39,52
39,53
39,54
39,55
39,58
39,59
39,60
39,62
39,63
39,68
39,69
39,70
39,71
39,73
39,76
39,77
39,80
39,82
39,84
39,87
39,88
39,91
39,92
39,96
39,102
39,103
39,104
39,105
39,108
39,109
39,110
39,112
39,113
39,116
39,117
39,119
39,121
39,125
39,128
39,130
39,134
39,136
39,139
39,140
39,146
39,148
39,150
39,155
39,156
39,158
39,165
39,166
39,170
39,180
39,182
39,187
39,190
39,212
40,1
40,2
40,3
40,4
40,6
40,7
40,8
40,9
40,11
40,14
40,15
40,17
40,21
40,22
40,23
40,25
40,27
40,28
40,29
40,31
40,32
40,33
40,34
40,36
40,37
40,39
40,44
40,45
40,48
40,51
40,52
40,53
40,54
40,59
40,60
40,68
40,69
40,70
40,71
40,72
40,73
40,78
40,80
40,83
40,84
40,87
40,88
40,90
40,92
40,96
40,98
40,100
40,104
40,109
40,113
40,119
40,120
40,125
40,133
40,134
40,146
40,148
40,158
40,178
40,180
40,187
40,193
41,44
42,2
42,4
42,6
42,15
42,22
42,30
42,32
42,35
42,37
42,44
42,45
42,48
42,52
42,62
42,63
42,67
42,68
42,69
42,70
42,72
42,73
42,82
42,83
42,87
42,98
42,100
42,116
42,117
42,121
42,133
42,146
42,187
43,1
43,2
43,4
43,6
43,7
43,8
43,9
43,10
43,14
43,15
43,17
43,18
43,19
43,21
43,23
43,25
43,26
43,27
43,29
43,31
43,33
43,34
43,36
43,37
43,39
43,40
43,44
43,45
43,54
43,57
43,59
43,62
43,63
43,66
43,67
43,68
43,69
43,71
43,75
43,78
43,89
43,92
43,104
43,105
43,109
43,110
43,113
43,115
43,116
43,118
43,119
43,125
43,133
43,134
43,138
43,139
43,146
43,150
43,155
43,158
43,166
43,168
43,170
43,173
43,180
43,181
43,187
43,193
43,212
43,213
44,1
44,2
44,3
44,4
44,6
44,7
44,8
44,9
44,10
44,11
44,13
44,14
44,15
44,17
44,21
44,22
44,23
44,25
44,26
44,27
44,28
44,29
44,30
44,31
44,32
44,34
44,35
44,36
44,37
44,39
44,40
44,42
44,45
44,48
44,49
44,52
44,53
44,54
44,59
44,60
44,62
44,63
44,67
44,68
44,69
44,70
44,71
44,72
44,73
44,74
44,75
44,77
44,78
44,80
44,82
44,83
44,84
44,87
44,88
44,92
44,95
44,96
44,97
44,98
44,99
44,102
44,103
44,104
44,105
44,108
44,109
44,110
44,112
44,113
44,116
44,119
44,120
44,121
44,125
44,128
44,133
44,134
44,136
44,138
44,146
44,148
44,150
44,155
44,158
44,168
44,170
44,173
44,178
44,180
44,182
44,187
44,193
44,212
45,1
45,2
45,3
45,4
45,5
45,6
45,7
45,8
45,9
45,10
45,11
45,13
45,14
45,15
45,16
45,17
45,18
45,21
45,22
45,23
45,25
45,26
45,27
45,28
45,29
45,30
45,31
45,32
45,33
45,34
45,35
45,36
45,37
45,39
45,40
45,42
45,44
45,48
45,49
45,51
45,52
45,53
45,54
45,55
45,58
45,59
45,60
45,62
45,63
45,66
45,67
45,68
45,69
45,70
45,71
45,72
45,73
45,76
45,78
45,79
